Query gene	Array gene	SGA score	p-value
YPL032C(SVL3)	YBR221C(PDB1)	-0.092	0.022
YPL032C(SVL3)	YDR245W(MNN10)	-0.091	0.042
YPL032C(SVL3)	YNL064C(YDJ1)	-0.091	0.027
YPL032C(SVL3)	YDR346C(SVF1)	-0.090	0.048
YPL032C(SVL3)	YOL044W(PEX15)	-0.090	0.023
YPL032C(SVL3)	YFR032C-A(RPL29)	-0.090	0.013
YPL032C(SVL3)	YER061C(CEM1)	-0.089	0.019
YPL032C(SVL3)	YKL070W()	-0.089	0.027
YPL032C(SVL3)	YLR216C(CPR6)	-0.089	0.030
YPL032C(SVL3)	YDR239C()	-0.088	0.029
YPL032C(SVL3)	YKL113C(RAD27)	-0.088	0.016
YPL032C(SVL3)	YBL019W(APN2)	-0.088	0.033
YPL032C(SVL3)	YER182W(FMP10)	-0.087	0.025
YPL032C(SVL3)	YML016C(PPZ1)	-0.087	0.025
YPL032C(SVL3)	YGR037C(ACB1)	-0.087	0.041
YPL032C(SVL3)	YJR133W(XPT1)	-0.086	0.026
YPL032C(SVL3)	YKL062W(MSN4)	-0.086	0.035
YPL032C(SVL3)	YDR420W(HKR1)	-0.086	0.041
YPL032C(SVL3)	YJL036W(SNX4)	-0.086	0.036
YPL032C(SVL3)	YDR440W(DOT1)	-0.086	0.040
YPL032C(SVL3)	YJL043W()	-0.085	0.029
YPL032C(SVL3)	YFL003C(MSH4)	-0.085	0.033
YPL032C(SVL3)	YLR062C(BUD28)	-0.085	0.033
YPL032C(SVL3)	YNL074C(MLF3)	-0.083	0.014
YPL032C(SVL3)	YNL009W(IDP3)	-0.083	0.010
YPL032C(SVL3)	YKL161C(KDX1)	-0.083	0.041
YPL032C(SVL3)	YCL032W(STE50)	-0.083	0.037
YPL032C(SVL3)	YKR046C(PET10)	-0.081	0.050	

